
Valores Confirmados

Fecha;CAPITAL;;CUPRUM;;HABITAT;;MODELO;;PLANVITAL;;PROVIDA;;UNO
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2023-01-29;50.574,41;4614013375880;52.008,93;4671837262817;53.289,66;6205589307315;49.013,72;2791296917118;50.017,35;1691167975700;49.869,19;4916043721133;50.152,11;328115957353
2023-01-30;50.636,45;4620402924322;52.091,41;4677931515765;53.343,51;6209181319699;49.088,39;2795703553446;50.103,91;1694479777010;49.913,59;4920513307907;50.229,97;328701399344
2023-01-31;50.666,66;4627773836174;52.126,29;4690556583759;53.391,77;6213649041733;49.123,77;2794752672928;50.139,73;1695388716301;49.927,83;4922748269682;50.268,16;329125948150

Valores Provisorios - Sujetos a Confirmacion

Fecha;CAPITAL;;CUPRUM;;HABITAT;;MODELO;;PLANVITAL;;PROVIDA;;UNO
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2023-02-01;50.404,41;4601537455683;51.838,89;4662648605364;53.117,61;6180173585968;48.849,14;2776732072610;49.872,41;1688208862797;49.631,00;4891894028887;49.984,29;326845890828
2023-02-02;50.199,55;4581528372656;51.616,80;4640828345648;52.871,41;6150644284551;48.637,72;2765787607863;49.655,90;1681061843003;49.396,78;4868291266587;49.767,62;325659911252
2023-02-03;50.061,47;4565766775947;51.466,35;4624837777598;52.740,25;6134531902222;48.516,10;2759674300589;49.515,99;1676817863822;49.275,70;4856795708634;49.619,40;324847293184
2023-02-04;50.061,47;4565766775947;51.466,35;4624837777598;52.740,25;6134531902222;48.516,10;2759674300589;49.515,99;1676817863822;49.275,70;4856795708634;49.619,40;324847293184
